311,244
516,243
726,221
925,183
1134,173
1352,212
1539,226
1720,228
1971,182
2186,188
2417,204
2585,366
2503,552
2307,633
2094,636
1864,573
1624,567
1403,594
1183,593
966,571
734,543
493,562
310,682
289,900
456,1018
665,1042
876,1017
1061,973
1266,924
1483,889
1691,904
1901,953
2128,1017
2334,982
2523,1069
2531,1313
2364,1421
2132,1415
1899,1343
1681,1300
1463,1324
1255,1352
1038,1352
820,1329
588,1336
391,1456
349,1672
501,1802
716,1816
926,1770
1140,1712
1361,1679
1593,1672
1823,1703
2070,1774
2295,1773
2504,1805
2660,1972
2503,2157
2257,2156
2026,2129
1804,2130
1590,2166
1365,2185
1135,2177
892,2128
662,2126
427,2176
274,2325
318,2519
512,2626
736,2620
940,2575
1151,2508
1371,2457
1607,2431
1828,2464
2041,2500
2249,2529
2494,2550
